云南省云县幸福糖业有限公司 (滇)XK13-001-00076
中建七局第三建筑有限公司 (闽)XK21-002-00031
福建悦鸿建设工程发展有限公司 (闽)XK21-002-00042
莆田市秀屿区鑫雅广告装饰有限公司 (闽)XK21-002-00016
霞浦县景泰窗业有限公司 (闽)XK21-002-00013
莆田市纵横装潢装饰有限公司 (闽)XK21-002-00036
福建四海建设有限公司 (闽)XK21-002-00025
厦门晟铭装饰建筑工程有限公司 (闽)XK21-002-00033
厦门中宸市政建设工程有限公司 (闽)XK21-002-00026
厦门元程装饰工程有限公司 (闽)XK21-002-00028
福建省远盛建设工程有限公司(原名:福建省长乐市远盛建筑装饰工程有限公司) (闽)XK21-002-00023
福州新特力建筑科技有限公司 (闽)XK21-002-00018
福清市海歌塑钢门窗有限公司 (闽)XK21-002-00038
霞浦县宏达窗业有限公司 (闽)XK21-002-00019
厦门市固龙节能科技有限公司 (闽)XK21-002-00012
福州华森门窗有限公司 (闽)XK21-002-00035
厦门市银之龙金属门窗有限公司 (闽)XK21-201-00004
厦门康恒实业有限公司 (闽)XK21-002-00010
厦门华视眼镜有限公司聚祥广场分店 (闽)XK16-005-00176
厦门宝岛眼镜有限公司厦大分公司 (闽)XK16-005-00075
福州明视眼镜有限公司第十二经营部 (闽)XK16-005-00170
厦门市思明区时尚在线眼镜店 (闽)XK16-005-00075
厦门市思明区郑武松明视眼镜店 (闽)XK16-005-00170
厦门华视眼镜有限公司第三经营部 (闽)XK16-005-00176
福州明视眼镜有限公司大洋天地百货有限公司三店 (闽)XK16-005-00170
福州明视眼镜有限公司第二十一经营部 (闽)XK16-005-00170
南平市延平区延福眼镜店 (闽)XK16-005-00370
厦门市思明区模范眼镜店 (闽)XK16-005-00170
南平市延平区艾来眼镜店 (闽)XK16-005-00370
福州明视眼镜有限公司第十一经营部 (闽)XK16-005-00170
福州市鼓楼区光学益民眼镜商行（原名：福州益民光学眼镜有限公司五一路分公司） (闽)XK16-117-00031
厦门市思明区天恒眼镜店 (闽)XK16-005-00075
福州益民光学眼镜有限公司中亭街分店 (闽)XK16-117-00031
屏南县明朗眼镜店 (闽)XK16-005-00567
厦门市宝岛眼镜有限公司中山第三分公司 (闽)XK16-005-00075
福州明视眼镜有限公司第十经营部 (闽)XK16-005-00170
福州益民光学眼镜有限公司鼓屏路分店 (闽)XK16-117-00031
厦门市思明区小明哥眼镜店 (闽)XK16-005-00170
福州市鼓楼区祥坤眼镜店 (闽)XK16-005-00095
福州明视眼镜有限公司南平市经营部 (闽)XK16-005-00170
厦门市集美区直通车眼镜店 (闽)XK16-005-00128
厦门市思明区圣帝亚视光眼镜店 (闽)XK16-005-00265
三明市亨得利眼镜有限公司沙县城关分店 (闽)XK16-117-00054
闽侯县上街爱眼眼镜医大分店 (闽)XK16-005-00244
福州市鼓楼区爱眼眼镜福大分店 (闽)XK16-005-00244
泉州市丰泽区武松明视眼镜店 (闽)XK16-005-00170
厦门市同安瑞视眼镜店 (闽)XK16-005-00142
厦门市集美区杏东月亮岛眼镜店 (闽)XK16-005-00126
福州明视眼镜有限公司台江经营部 (闽)XK16-005-00170
厦门市思明区天水工艺品店 (闽)XK16-005-00265
福州益民光学眼镜有限公司五一路分店 (闽)XK16-117-00031
福州明视眼镜有限公司泉州经营部 (闽)XK16-005-00170
福州市明视眼镜有限公司福清经营部 (闽)XK16-005-00170
福州市鼓楼区中榕钟表眼镜店 (闽)XK16-005-00133
三明市亨得利眼镜有限公司榕树分店 (闽)XK16-117-00054
漳州市龙文区昌达胶合板加工场 (闽)XK03-002-00015
福州市晋安区中榕眼镜行 (闽)XK16-005-00133
厦门市思明区鑫宜视力眼镜店 (闽)XK16-005-00516
福州市晋安区鑫宝爱眼镜店 (闽)XK16-005-00349
福州市仓山区中榕钟表眼镜店 (闽)XK16-005-00133
宁化县华益眼镜店 (闽)XK16-005-00468
漳州市芗城区华视眼镜店 (闽)XK16-005-00496
连锁281店（云霄县金国宝岛眼镜店） (闽)XK16-005-00094
东山县西埔茂华眼镜店 (闽)XK16-005-00088
福州市晋安区宝爱眼镜店 (闽)XK16-005-00349
长乐金峰中榕眼镜店 (闽)XK16-005-00133
厦门市思明区宜视力眼镜店 (闽)XK16-005-00516
漳州市芗城家宜木艺机械厂 (闽)XK03-002-02413
漳州市芗城区大众眼镜店 (闽)XK16-117-00063
龙海市石码明视眼镜城 (闽)XK16-005-00170
空气化工产品（福州）有限公司 (闽)XK13-010-00018
宁德市兴达气体有限公司 (闽)XK13-010-00004
福州诺达建材有限公司 (闽)XK08-002-00012
福州台江中榕钟表眼镜玫瑰园店 (闽)XK16-005-00133
福建省连江县开端眼镜有限公司 (闽)XK16-005-00131
厦门空分特气实业有限公司 (闽)XK13-010-00001
福建省泉州松田复合肥有限公司 (闽)XK13-001-00005
漳州市芗城农丰肥料有限公司 (闽)XK13-001-00006
福建省漳州中肥肥料有限公司(原名:漳州惠德肥料有限公司) (闽)XK13-001-00001
福建鸿瑞肥业有限公司 (闽)XK13-001-00003
三明鑫隆化工有限公司 (闽)XK13-015-00002
闽清航华木业有限公司 (闽)XK03-002-00001
福建省邵武福人林产有限公司 (闽)XK03-002-00007
福建省光泽沪千人造板制造有限公司 (闽)XK03-002-00010
福建省顺昌吉鑫竹木有限公司 (闽)XK03-002-00005
福建省南平沪千人造板制造有限公司 (闽)XK03-002-00020
莆田市荔城区陈阳光安全网厂 (闽)XK02-001-00023
德化县新隆泰化工实业有限公司（原：泉州隆泰化工有限公司） (闽)XK13-006-00001
三明市三钢煤化工有限公司 (闽)XK13-014-00002
福建邵化化工有限公司 (闽)XK13-010-00027
古田县金炉制气有限公司 (闽)XK13-010-00023
福建省漳平化肥有限公司 (闽)XK13-016-00002
福建福润电机有限公司 (闽)XK16-002-00001
永安市森发人造板有限公司 (闽)XK03-002-00082
漳州市天达电动车科技开发有限公司 (闽)XK16-002-00024
泉州市鲤城区天运自行车装配厂 (闽)XK16-002-00032
福建省泉州华源石化有限公司 (闽)XK18-001-00001
厦门市建宁防水工程有限公司材料厂 (闽)XK08-005-00003
福建省泉州志铭电池有限公司 (闽)XK13-015-00002
福建武夷山温乐绿色工业有限公司（原名：福建南平艺竹绿色工业有限公司） (闽)XK03-002-00063
福建福人木业有限公司 (闽)XK03-002-00025
永定县胜捷家饰有限公司 (闽)XK03-002-00028
漳州市辉昌工贸有限公司 (闽)XK03-002-00024
漳州市龙文区龙泰人造板有限公司 (闽)XK03-002-00016
福鼎绿星人造板有限公司 (闽)XK03-002-00026
丰泽区洪运贴面加工厂 (闽)XK03-002-00022
漳平市蓝山木业有限公司 (闽)XK03-002-00029
莆田市环阳木业有限公司 (闽)XK03-002-00017
厦门市友兴贸易有限公司 (闽)XK12-001-00001
厦门路羊科技有限公司（原名：厦门市羊马哈车业有限公司） (闽)XK16-002-00010
沙县华美防水材料有限公司 (闽)XK08-005-00002
三明市铜浪防水建材有限公司 (闽)XK08-005-00001
厦门鹭光焊材有限公司 (闽)XK06-009-00001
福建闽东电机高新技术有限公司 (闽)XK06-003-00003
福建永冠复合肥有限公司 (闽)XK13-001-00012
漳州美利德生物工程有限公司 (闽)XK13-001-00009
三明市三圆化学试剂有限公司 (闽)XK13-011-00001
福建泰宁晶桥竹木制品有限公司 (闽)XK03-002-00008
宜家（福州）木业有限公司 (闽)XK03-002-00073
福建和鑫木业有限公司 (闽)XK03-002-00009
漳州市龙文区明池木业加工场（倒闭） (闽)XK03-002-00013
福建省建瓯市东兴竹木科技有限公司 (闽)XK03-002-00011
福建省建瓯市裕华木业有限公司 (闽)XK03-002-00071
福建省沙县明福木业有限公司 (闽)XK03-002-00099
三明科飞技术开发有限公司 (闽)XK13-014-00006
福建省漳浦县扬绿化工有限公司 (闽)XK13-014-00003
永定县众旺化工有限公司 (闽)XK13-016-00001
漳州双石摩托车有限公司 (闽)XK16-002-00015
福清市宏太车业有限公司 (闽)XK16-002-00013
厦门市华乐电缆有限公司 (闽)XK06-001-00019
南平市东欧化肥有限公司 (闽)XK13-001-00020
福鼎市远东化肥有限公司 (闽)XK13-001-00022
龙海市丰田复合肥有限公司 (闽)XK13-001-00018
龙岩市农安肥业有限公司 (闽)XK13-001-00021
厦门市建宁防水工程有限公司 (闽)XK08-005-00003
浦城丽平人造板有限责任公司 (闽)XK03-002-00034
漳州市龙文区杉泰木业加工场 (闽)XK03-002-00031
尤溪县联兴木制品有限公司 (闽)XK03-002-00046
永安市兴隆木业有限公司 (闽)XK03-002-00044
福建森海木业有限公司 (闽)XK03-002-00033
厦门市明晟家俬工贸有限公司 (闽)XK03-002-00040
沙县福升木制品厂（普通合伙） (闽)XK03-002-00039
福建省明溪荣盛木业有限公司 (闽)XK03-002-00038
福建省建阳市鑫泉木业有限公司 (闽)XK03-002-00036
连城百冠人造板有限责任公司 (闽)XK03-002-00045
将乐县盛盛木业有限公司 (闽)XK03-002-00049
龙岩市鸿光木业有限公司 (闽)XK03-002-00051
厦门市铁城家具板材有限公司 (闽)XK03-002-00054
莆田市佳源气体有限公司 (闽)XK13-005-00007
荔城区拱辰盛发塑料厂 (闽)XK02-001-00010
邵武市荣信竹木制品有限公司 (闽)XK03-002-00047
石狮市兴狮制氧有限公司 (闽)XK13-010-00015
福建福顺微电子有限公司 (闽)XK13-010-00045
福建省强宏工业气体有限公司 (闽)XK13-010-00007
南安市石井新烽空分氧气充装厂 (闽)XK13-010-00009
南安市石井成功厚兴制氧厂 (闽)XK13-010-00010
莆田市荔城区黄石制氧厂 (闽)XK13-010-00013
福建三明星火实业有限公司 (闽)XK13-010-00031
福建莱孚泵业有限公司（原：福安市莱孚泵业有限公司） (闽)XK06-003-00005
福建省海浪电机有限公司 (闽)XK06-003-00006
冠城大通股份有限公司 (闽)XK06-001-00021
南平市闽发电线电缆有限公司 (闽)XK06-001-00011
宁德市三富机电有限公司 (闽)XK06-001-00008
福建省南平金弘钢缆有限公司 (闽)XK06-001-00009
龙岩市连威肥业有限责任公司 (闽)XK13-001-00027
福建邵化化工有限公司 (闽)XK13-001-00026
福州平衡施肥科技有限公司 (闽)XK13-001-00023
福建省龙得宝测土配肥科技开发有限公司 (闽)XK13-001-00024
福建省政和化工有限责任公司 (闽)XK13-015-00006
福建金山黄金冶炼有限公司 (闽)XK13-015-00003
厦门宇诠复材科技有限公司 (闽)XK15-001-00002
世佳化工（厦门）有限公司 (闽)XK13-012-00001
建阳市鑫源木业有限责任公司 (闽)XK03-002-00059
屏南县森华木制加工板厂 (闽)XK03-002-00085
明溪县新夏松木业有限责任公司 (闽)XK03-002-00057
厦门鹭康顶品工贸有限公司 (闽)XK03-002-00165
邵武市康福竹业有限公司 (闽)XK03-002-00088
闽侯县东德木业有限公司（原名：闽侯县港头东德木制品厂） (闽)XK03-002-00083
厦门鑫顶品工贸有限公司 (闽)XK03-002-00062
闽侯县永钊木业有限公司（原名：闽侯县永钊胶合板厂） (闽)XK03-002-00089
福建省闽侯县茂林木业有限公司 (闽)XK03-002-00084
三明市三乐木业有限公司 (闽)XK03-002-00069
漳州绿森木业有限公司 (闽)XK03-002-00078
大亚木业(福建)有限公司 (闽)XK03-002-00018
连城佳达竹业有限公司 (闽)XK03-002-00080
三明市金溪木业有限公司 (闽)XK03-002-00065
三明市九牧木业有限公司 (闽)XK03-002-00076
福建省大森万安竹木制品有限公司 (闽)XK03-002-00081
福建省泰宁德鑫木业有限公司 (闽)XK03-002-00075
厦门市绿舟木业有限公司 (闽)XK03-002-00055
三明市金马木业有限公司 (闽)XK03-002-00072
建瓯市金峰化工气体有限公司 (闽)XK13-005-00008
延邦管业(漳州)有限公司 (闽)XK08-002-00002
杏晖光学(厦门)有限公司 (闽)XK02-001-00011
厦门微护佳防护用品有限公司 (闽)XK02-001-00014
厦门成盈纸业有限公司 (闽)XK12-001-00005
福建省长庆化工有限公司 (闽)XK13-014-00016
福建省泉州凯盛化工有限公司 (闽)XK13-014-00009
翔鹭石化股份有限公司(原名:翔鹭石化企业(厦门)有限公司) (闽)XK13-014-00013
沙县宏盛塑料有限公司 (闽)XK13-014-00018
邵武金腾化工有限公司 (闽)XK13-014-00011
宁化县东溪化工有限公司 (闽)XK13-014-00020
松溪县天工化工有限公司 (闽)XK13-020-00002
长泰县小平气体制造有限公司 (闽)XK13-010-00024
龙岩卓龙钢铁有限公司 (闽)XK13-010-00030
福建省南安市水头峥嵘氧气厂 (闽)XK13-010-00026
南平市三山精密铸件有限公司 (闽)XK13-010-00028
福安市祥和气体有限公司 (闽)XK13-010-00020
厦门捷博电动车制造有限公司 (闽)XK16-002-00002
瑞鑫集团（福州）实业有限公司 (闽)XK06-001-00013
闽侯县新和木业有限公司 (闽)XK03-002-00117
福清市宏太车业有限公司 (闽)XK16-002-00028
福州丰农化肥有限公司 (闽)XK13-001-00037
连江县达利气体有限公司 (闽)XK13-005-00012
漳州印美油墨有限公司 (闽)XK13-018-00009
福州太阳电缆有限公司 (闽)XK06-001-00029
福建上杭太阳铜业有限公司 (闽)XK06-001-00041
福州中榕钟表眼镜有限公司 (闽)XK16-005-00133
大田县鹭之岛眼镜店 (闽)XK16-005-00367
福清市玉屏视佳眼镜店 (闽)XK16-005-00069
闽侯县上街爱眼眼镜店医大分店 (闽)XK16-005-00244
闽侯县上街爱眼眼镜店新师大分店 (闽)XK16-005-00244
泉州市宝岛眼镜有限公司津淮分公司(原：泉州市丰泽区宝岛眼镜有限公司津淮分公司) (闽)XK16-117-00057
泉州市宝岛眼镜有限公司(原：泉州市丰泽区宝岛眼镜有限公司) (闽)XK16-117-00057
厦门市思明区宜视眼镜经营部 (闽)XK16-005-00741
三明市亨得利眼镜有限公司沙县分店 (闽)XK16-117-00054
漳浦县赤湖镇爱眼城眼镜店 (闽)XK16-005-00647
漳州市芗城区得保精益眼镜店 (闽)XK16-005-00648
福安市赛岐康明宝岛眼镜店（原名：福安市赛岐光明眼镜店） (闽)XK16-005-00269
南安市官桥长春眼镜店 (闽)XK16-005-00445
将乐县百合眼视光产品经营部 (闽)XK16-005-00476
三明市梅列区眼之悦眼镜店 (闽)XK16-005-00475
福州电焊条厂 (闽)XK06-009-00003
福安市海乐高登泵业有限公司 (闽)XK06-003-00009
安特洛（福安市）电机有限公司 (闽)XK06-003-00006
福安市木川电机有限公司 (闽)XK06-003-00007
福建省福安市富邦尔电机电器有限公司 (闽)XK06-003-00012
福安市金匙电机厂 (闽)XK06-003-00008
福安市沣泓电机有限公司 (闽)XK06-003-00016
福安市长虹电机厂 (闽)XK06-003-00015
福安市金驰电机有限公司 (闽)XK06-003-00010
福安市宝马电机厂 (闽)XK06-003-00014
福安市银杰电机有限公司 (闽)XK06-003-00011
福安市大万电机有限公司 (闽)XK06-003-00013
福清康普电暖产品有限公司 (闽)XK16-001-00001
福州大通机电有限公司 (闽)XK06-001-00020
福建联通电气有限公司(原：福州开发区联通电工有限公司） (闽)XK06-001-00017
福建丰润化肥有限公司 (闽)XK13-001-00036
福建省建阳武夷味精有限公司 (闽)XK13-001-00038
邵武市福田化肥有限公司 (闽)XK13-001-00033
福建东森益郡生物科技有限公司 (闽)XK13-001-00035
厦门宝岛眼镜有限公司 (闽)XK16-005-00075
泉州市宝岛眼镜有限公司丰泽办事处 (闽)XK16-117-00057
晶华宝岛(福建)眼镜有限公司 (闽)XK16-005-00737
福州明视眼镜有限公司 (闽)XK16-005-00170
闽侯县隆辉木业有限公司 (闽)XK03-002-00111
龙海市陇西木业有限公司 (闽)XK03-002-00103
福建省永定紫金木业有限公司 (闽)XK03-002-00109
福建省邵武市天源家居用品有限公司 (闽)XK03-002-00101
闽侯县秋泉木业有限公司 (闽)XK03-002-00116
福州美森木业有限公司 (闽)XK03-002-00123
漳州市沅星木业有限公司 (闽)XK03-002-00095
闽侯县鸿光木业有限公司 (闽)XK03-002-00112
邵武市云海竹木业有限公司 (闽)XK03-002-00122
明溪县枫溪利森木器厂 (闽)XK03-002-00098
福建省新宏基木业有限公司 (闽)XK03-002-00119
福州亚新丽装饰材料有限公司 (闽)XK03-002-00118
浦城县三协木业有限责任公司 (闽)XK03-002-00118
福建省建瓯市昌业人造板有限公司 (闽)XK03-002-00108
厦门蒙特实业有限公司 (闽)XK03-002-00090
厦门诚雅森工贸有限公司 (闽)XK03-002-00110
福建省凯泉竹木有限公司 (闽)XK03-002-00107
龙岩市金鸿光工贸有限公司 (闽)XK03-002-00102
莆田市秀屿区平海东兴木业制品厂 (闽)XK03-002-00092
清流县永兴木业有限公司 (闽)XK03-002-00097
福州兴耐特玻璃钢有限公司 (闽)XK08-002-00005
德化县兴厦建材有限公司 (闽)XK08-002-00007
龙岩市上杭县永强水泥制品有限公司 (闽)XK08-002-00008
厦门博意达科技有限公司 (闽)XK07-002-00002
莆田市荔城区武松明视眼镜店 (闽)XK16-005-00170
福建省建瓯市朝阳竹编帽业有限公司 (闽)XK02-001-00016
晋江富民眼镜有限公司 (闽)XK16-005-00471
厦门市思明区庆视眼镜店 (闽)XK16-005-00746
福州晋安区恒大光学眼镜店 (闽)XK16-005-00075
福州市晋安区小钱眼镜店 (闽)XK16-005-00423
福州市鼓楼区小蔡眼镜店 (闽)XK16-005-00423
厦门市思明区观采眼镜店 (闽)XK16-005-00170
福州市仓山区东时宝岛眼镜店 (闽)XK16-005-00075
石狮市德恩堂眼镜店 (闽)XK16-117-00057
南安市水头小林眼镜店 (闽)XK16-117-00057
莆田市荔城区中山宝岛眼镜店 (闽)XK16-117-00057
福州晋安区福盛宝岛眼镜店 (闽)XK16-005-00075
石狮市清艺富明眼镜店 (闽)XK16-005-00726
福州市鼓楼区利众眼镜店 (闽)XK16-005-00222
厦门宝岛眼镜有限公司福清第二分店 (闽)XK16-005-00075
晋江市东石镇富民眼镜店 (闽)XK16-005-00471
厦门富山诚达百货商业广场有限公司 (闽)XK16-005-00176
漳州市芗城区亮彩眼镜店 (闽)XK16-005-00075
厦门市思明区优仕眼镜柜 (闽)XK16-005-00170
龙岩市宝视眼镜有限公司中山路分公司 (闽)XK16-005-00258
南平市宝岛眼镜有限公司马站分公司 (闽)XK16-005-00359
福州市鼓楼区大都宝岛眼镜店 (闽)XK16-005-00423
莆田市城厢区文骏明视眼镜店 (闽)XK16-005-00170
龙岩市宝视眼镜有限公司九一路分公司 (闽)XK16-005-00258
厦门市思明区艾比利眼镜店 (闽)XK16-005-00387
石狮市富民眼镜店第二分店 (闽)XK16-005-00167
福州米兰钟表眼镜有限公司五四路分公司 (闽)XK16-005-00137
福州利众眼镜有限公司(音像书店点) (闽)XK16-005-00222
三明市亨得利眼镜有限公司三元分店 (闽)XK16-117-00054
厦门华视眼镜有限公司滨北眼镜店 (闽)XK16-005-00176
厦门市同安东方宝岛眼镜店 (闽)XK16-005-00175
漳州市芗城区明视眼镜店 (闽)XK16-005-00170
福州市台江区陈宁才明视眼镜店 (闽)XK16-005-00170
荔城区镇海明视眼镜胜利二店 (闽)XK16-005-00170
漳州市芗城区得恩堂眼镜店 (闽)XK16-005-00075
三明市亨得利眼镜有限公司燕江分店 (闽)XK16-117-00054
三明市亨得利眼镜有限公司三恒分店 (闽)XK16-117-00054
厦门华视眼镜有限公司第四经营部 (闽)XK16-005-00176
宁德市博士眼镜有限公司 (闽)XK16-005-00172
福州明视眼镜有限公司鼓楼分店 (闽)XK16-005-00170
福州市鼓楼区爱眼眼镜店福大西区分店 (闽)XK16-005-00244
霞浦县新环岛眼镜店 (闽)XK16-005-00223
福州明视眼镜有限公司第三十三经营部 (闽)XK16-005-00170
福州明视眼镜有限公司第十六经营部 (闽)XK16-005-00170
厦门市思明区华岛眼镜店 (闽)XK16-005-00168
福州明视眼镜有限公司天虹百货分店 (闽)XK16-005-00170
福州明视眼镜有限公司第二十三经营部 (闽)XK16-005-00170
福州明视眼镜有限公司第十三经营部 (闽)XK16-005-00170
厦门华视眼镜有限公司第二经营部 (闽)XK16-005-00176
荔城区镇海明益眼镜经营部 (闽)XK16-005-00174
厦门华视眼镜有限公司湖里华昌分店 (闽)XK16-005-00176
三明市亨得利眼镜有限公司钟表眼镜行 (闽)XK16-117-00054
福州明视眼镜有限公司第四十八分店 (闽)XK16-005-00170
城厢区梅园宝岛眼镜店 (闽)XK16-117-00057
沙县城关榕华眼镜旗舰店 (闽)XK16-005-00093
三明市亨得利眼镜有限公司群燕分店 (闽)XK16-117-00054
福州市晋安区林丽华明视眼镜专柜 (闽)XK16-005-00170
莆田市城厢区武松明视眼镜店 (闽)XK16-005-00170
福州明视眼镜有限公司第十九经营部 (闽)XK16-005-00170
福州明视眼镜有限公司第四十六经营店 (闽)XK16-005-00170
福建省连江县开端眼镜有限公司官头门市部 (闽)XK16-005-00131
石狮市富民眼镜店第一分店 (闽)XK16-005-00167
厦门华视眼镜有限公司金尚分店 (闽)XK16-005-00176
福州市鼓楼区小明哥眼镜柜 (闽)XK16-005-00170
福州市晋安区陈辉明视眼镜店 (闽)XK16-005-00170
连江县琯头镇明视眼镜城第四十一分店 (闽)XK16-005-00170
石狮市精益眼镜行九二路分行 (闽)XK16-005-00135
福州市鼓楼区爱眼眼镜店 (闽)XK16-005-00244
厦门市翔安鹏飞眼镜商店 (闽)XK16-005-00246
江西宝岛眼镜有限公司厦门湖里分公司 (闽)XK16-005-00168
厦门市集美区典雅宝岛眼镜店 (闽)XK16-005-00084
福州台江区林于爱眼眼镜柜 (闽)XK16-005-00244
厦门华视眼镜有限公司嘉禾第二分店(原:厦大经营部) (闽)XK16-005-00176
泉州市丰泽区明视智壬眼镜店 (闽)XK16-005-00170
长乐吴航明视眼镜城解放路店 (闽)XK16-005-00170
福州市仓山区陈宁才明视眼镜店 (闽)XK16-005-00170
三明市亨得利眼镜有限公司尤溪分店 (闽)XK16-117-00054
邵武市李纲路华视眼镜店 (闽)XK16-005-00299
安溪县德恩堂眼镜店 (闽)XK16-117-00057
福州市鼓楼区鸿汇眼镜商店 (闽)XK16-005-00170
福州市台江区泓达眼镜店 (闽)XK16-005-00170
台江区鸿信眼镜店 (闽)XK16-005-00170
福州市仓山区鸿乐眼镜店 (闽)XK16-005-00170
惠安县德恩堂眼镜店 (闽)XK16-117-00057
晋江市青阳视康眼镜店 (闽)XK16-117-00057
晋江市青阳得恩堂眼镜店 (闽)XK16-117-00057
丰泽区隆隆明视眼镜店 (闽)XK16-005-00170
新罗区宝岛眼镜专卖店（原：龙岩市新罗区厦门宝岛眼镜店） (闽)XK16-117-00061
龙岩市新罗区流行前线眼镜店 (闽)XK16-117-00061
闽侯县上街新华视眼镜店 (闽)XK16-005-00094
宁德市东侨经济开发区光明眼镜店 (闽)XK16-005-00260
宁德市蕉城区蕉北光明眼镜店 (闽)XK16-005-00260
宁德市东侨经济开发区明视眼镜城 (闽)XK16-005-00170
莆田市荔城区宝岛眼镜东百店 (闽)XK16-117-00057
泉州明视眼镜有限公司田安分公司 (闽)XK16-005-00754
泉州明视眼镜有限公司 (闽)XK16-005-00754
泉州市鲤城区宝岛眼镜有限公司涂门分公司 (闽)XK16-117-00057
泉州市鲤城区宝岛眼镜有限公司九一分公司 (闽)XK16-117-00057
鲤城区晶华眼镜店 (闽)XK16-117-00057
泉州市鲤城区宝岛眼镜有限公司 (闽)XK16-117-00057
泉州市鲤城区闪亮眼镜店 (闽)XK16-117-00057
泉州市宝岛眼镜有限公司中远分公司（原：泉州市丰泽区宝岛眼镜有限公司中远分公司） (闽)XK16-117-00057
泉州市丰泽区米兰眼镜店 (闽)XK16-117-00057
三明市宝岛眼镜有限公司梅列分公司 (闽)XK16-005-00665
三明市三元区兴华益眼镜行荆东店 (闽)XK16-005-00699
厦门市翔安绿千叶眼镜店 (闽)XK16-005-00094
石狮市商业城宝龙眼镜店 (闽)XK16-117-00057
石狮市小林眼镜店 (闽)XK16-117-00057
长乐吴航明视眼镜航辉店 (闽)XK16-005-00170
福州市晋安区宝岛眼镜城 (闽)XK16-005-00737
福清市玉屏智华眼镜店 (闽)XK16-005-00737
福州市鼓楼区志华眼镜 (闽)XK16-005-00737
福州市仓山区东时宝岛眼镜店 (闽)XK16-005-00737
晶华宝岛（福建）眼镜有限公司福州第二分店 (闽)XK16-005-00737
福州市仓山区燕敏宝岛眼镜店 (闽)XK16-005-00737
福州市仓山区康山宝岛眼镜店 (闽)XK16-005-00737
福州市鼓楼区盛世宝岛眼镜店 (闽)XK16-005-00737
晶华宝岛（福建）眼镜有限公司福州第五分店 (闽)XK16-005-00737
厦门市集美区啊菠罗眼镜店 (闽)XK16-005-00543
厦门市集美区港视眼镜店 (闽)XK16-005-00545
厦门市集美区宝视康眼镜店 (闽)XK16-005-00545
厦门市集美区集源庄视眼镜店 (闽)XK16-005-00542
石狮市佳美眼镜行金井分行 (闽)XK16-005-00134
长泰县礼信宝岛眼镜店 (闽)XK16-005-00434
漳浦县绥安镇杨宝珠眼镜店 (闽)XK16-005-00435
石狮市闪亮眼镜店 (闽)XK16-117-00057
福州市台江区张丽琴宝岛眼镜店 (闽)XK16-005-00737
福州晋安区福盛宝岛眼镜店 (闽)XK16-005-00737
福州市台江区小蔡宝岛眼镜店 (闽)XK16-005-00737
闽侯县上街林东宝岛眼镜店 (闽)XK16-005-00094
福州市仓山区鸿志眼镜店 (闽)XK16-005-00170
晋江市青阳阳光荣蕊明视眼镜店 (闽)XK16-005-00170
厦门市思明区孝信明视眼镜店 (闽)XK16-005-00170
福清市音西大明眼镜店 (闽)XK16-005-00170
福州市鼓楼区小钱眼镜店 (闽)XK16-005-00423
福州市仓山区康山宝岛眼镜店 (闽)XK16-005-00423
福州市台江区小潘宝岛眼镜店 (闽)XK16-005-00423
福州市鼓楼区小潘宝岛眼镜店 (闽)XK16-005-00423
福州市鼓楼区东时宝岛眼镜店 (闽)XK16-005-00423
福州市鼓楼区盛世宝岛眼镜店 (闽)XK16-005-00423
福州市台江区小钱宝岛眼镜店 (闽)XK16-005-00423
闽侯县上街小魏宝岛眼镜店 (闽)XK16-005-00423
福州市台江区小蔡宝岛眼镜店 (闽)XK16-005-00423
珠海市文化书城有限公司福州仓山店 (闽)XK16-117-00031
长乐吴航丽琴眼镜店 (闽)XK16-005-00737
福州市鼓楼区小沈眼镜店 (闽)XK16-005-00737
长乐吴航志华眼镜店 (闽)XK16-005-00737
长乐金峰郑云眼镜店 (闽)XK16-005-00737
长乐航城危俊眼镜店 (闽)XK16-005-00737
晶华宝岛（福建）眼镜有限公司福州第四分店 (闽)XK16-005-00737
福清市音西智华眼镜店 (闽)XK16-005-00737
福州市台江区小魏宝岛眼镜店 (闽)XK16-005-00737
南平市延平区舒拿眼镜店 (闽)XK16-005-00362
石狮市佳美眼镜行九二路第一分行 (闽)XK16-005-00134
石狮市佳美眼镜行八七路分行 (闽)XK16-005-00134
石狮市佳美眼镜行九二路第三分行 (闽)XK16-005-00134
长泰县永视眼镜店岩溪分店（原名：长泰县大明眼镜行岩溪分店） (闽)XK16-005-00434
福安市优视美宝岛眼镜经营部 (闽)XK16-005-00721
安溪县凤城镇新华眼镜一中店 (闽)XK16-005-00129
连江县黄岐镇明视眼镜城 (闽)XK16-005-00170
厦门市思明区莹莹明视眼镜店 (闽)XK16-005-00170
宁德市蕉城区蕉南全明视眼镜城 (闽)XK16-005-00170
宁德市蕉城区蕉北华明视眼镜店 (闽)XK16-005-00170
宁德市蕉城区蕉南全视眼镜城 (闽)XK16-005-00170
福州明视眼镜有限公司泉州第三经营部 (闽)XK16-005-00170
泉州市鲤城区武松明视眼镜店 (闽)XK16-005-00170
福州明视眼镜有限公司第三经营部 (闽)XK16-005-00170
泉州市鲤城区智壬眼镜店 (闽)XK16-005-00170
福州市晋安区尚岛眼镜店 (闽)XK16-005-00711
晋江市青阳肖氏新华眼镜店陈埭四境分店 (闽)XK16-005-00472
晋江市青阳新华眼镜店 (闽)XK16-005-00472
